Name,Description,Size,NA0,BS1,BS4,,,SRA Accession,,,,,,,,,,,,,,,
SRR8300940,activated sludge metagenome,30602,1,0,0,,,SRS788490,sediment metagenome,,,,SRS788490,sediment metagenome,,,SRS788490,sediment metagenome,,,,SRS788490,sediment metagenome
SRR8300941,activated sludge metagenome,69248,1,0,0,,,SRS4347207,soil metagenome,,,,,,,,SRS4347207,soil metagenome,,,,SRS4347207,soil metagenome
SRR8300943,activated sludge metagenome,44704,1,0,0,,,SRS4347208,soil metagenome,,,,SRS4347207,soil metagenome,,,SRS4347208,soil metagenome,,,,SRS4347208,soil metagenome
SRR8300955,activated sludge metagenome,45664,2,0,0,,,SRS4347336,soil metagenome,,,,,,,,SRS4347336,soil metagenome,,,,SRS4347336,soil metagenome
SRR8300956,activated sludge metagenome,40793,1,0,0,,,SRS1359101,soil metagenome,,,,SRS4347208,soil metagenome,,,SRS1359101,soil metagenome,,,,SRS1359101,soil metagenome
SRR8300957,activated sludge metagenome,56574,1,0,0,,,SRS942397,soil metagenome,,,,,,,,SRS942397,soil metagenome,,,,SRS942397,soil metagenome
SRR8300958,activated sludge metagenome,56149,1,0,0,,,SRS500617,hot springs metagenome,,,,SRS4347336,soil metagenome,,,SRS500617,hot springs metagenome,,,,SRS500617,hot springs metagenome
SRR8300967,activated sludge metagenome,37328,1,0,0,,,SRS942342,soil metagenome,,,,,,,,SRS942342,soil metagenome,,,,SRS942342,soil metagenome
SRR8300968,activated sludge metagenome,42160,1,0,0,,,SRS888507,hot springs metagenome,,,,SRS1359101,soil metagenome,,,SRS888507,hot springs metagenome,,,,SRS888507,hot springs metagenome
SRR8300974,activated sludge metagenome,41066,1,0,0,,,SRS942389,soil metagenome,,,,,,,,SRS942389,soil metagenome,,,,SRS942389,soil metagenome
SRR8300995,activated sludge metagenome,37774,1,0,0,,,SRS942393,soil metagenome,,,,SRS942397,soil metagenome,,,SRS942393,soil metagenome,,,,SRS942393,soil metagenome
SRR8301002,activated sludge metagenome,40680,1,0,0,,,SRS942332,soil metagenome,,,,,,,,SRS942332,soil metagenome,,,,SRS942332,soil metagenome
SRR8301005,activated sludge metagenome,42339,1,0,0,,,SRS888501,hot springs metagenome,,,,SRS500617,hot springs metagenome,,,SRS888501,hot springs metagenome,,,,SRS888501,hot springs metagenome
SRR8301008,activated sludge metagenome,46090,1,0,0,,,SRS1212632,soil metagenome,,,,,,,,SRS1212632,sediment metagenome,,,,SRS1212632,sediment metagenome
SRR8301041,activated sludge metagenome,40369,1,0,0,,,SRS500618,hot springs metagenome,,,,SRS942342,soil metagenome,,,SRS500618,hot springs metagenome,,,,SRS500618,hot springs metagenome
SRR8301054,activated sludge metagenome,43081,1,0,0,,,SRS1921920,soil metagenome,,,,,,,,SRS1921920,aquatic metagenome,,,,SRS1921920,aquatic metagenome
SRR8301062,activated sludge metagenome,34920,1,0,0,,,SRS888526,hot springs metagenome,,,,SRS888507,hot springs metagenome,,,SRS888526,hot springs metagenome,,,,SRS888526,hot springs metagenome
SRR8301079,activated sludge metagenome,83126,1,0,0,,,SRS1910800,soil metagenome,,,,,,,,SRS1910800,mine drainage metagenome,,,,SRS1910800,mine drainage metagenome
SRR8301082,activated sludge metagenome,40418,1,0,0,,,SRS4331290,soil metagenome,,,,SRS942389,soil metagenome,,,SRS4331290,soil metagenome,,,,SRS4331290,soil metagenome
SRR8301102,activated sludge metagenome,37199,1,0,0,,,SRS500616,soil metagenome,,,,,,,,SRS500616,hot springs metagenome,,,,SRS500616,hot springs metagenome
SRR8301114,activated sludge metagenome,36409,1,0,0,,,SRS4391961,soil metagenome,,,,SRS942393,soil metagenome,,,SRS4391961,soil metagenome,,,,SRS4391961,soil metagenome
SRR8301126,activated sludge metagenome,37728,1,0,0,,,SRS1212620,soil metagenome,,,,,,,,SRS1212620,sediment metagenome,,,,SRS1212620,sediment metagenome
SRR8301130,activated sludge metagenome,34839,1,0,0,,,SRS1922651,aquatic metagenome,,,,SRS942332,soil metagenome,,,SRS1922651,aquatic metagenome,,,,SRS1922651,aquatic metagenome
SRR8301141,activated sludge metagenome,55113,1,0,0,,,SRS1921919,soil metagenome,,,,,,,,SRS1921919,aquatic metagenome,,,,SRS1921919,aquatic metagenome
SRR8301155,activated sludge metagenome,48001,1,0,0,,,SRS1922648,aquatic metagenome,,,,SRS888501,hot springs metagenome,,,SRS1922648,aquatic metagenome,,,,SRS1922648,aquatic metagenome
SRR8301156,activated sludge metagenome,40711,1,0,0,,,ERS785402,#N/A,,,,,,,,ERS785402,soil metagenome,,,,ERS785402,soil metagenome
SRR8301171,activated sludge metagenome,48810,1,0,0,,,SRS2094432,soil metagenome,,,,SRS1212632,sediment metagenome,,,SRS2094432,soil metagenome,,,,SRS2094432,soil metagenome
SRR8301183,activated sludge metagenome,44501,2,0,0,,,SRS4391969,soil metagenome,,,,,,,,SRS4391969,soil metagenome,,,,SRS4391969,soil metagenome
SRR8301190,activated sludge metagenome,39484,1,0,0,,,SRS4391959,soil metagenome,,,,SRS500618,hot springs metagenome,,,SRS4391959,soil metagenome,,,,SRS4391959,soil metagenome
SRR8301200,activated sludge metagenome,45387,1,0,0,,,SRS942388,soil metagenome,,,,,,,,SRS942388,soil metagenome,,,,SRS942388,soil metagenome
SRR8301201,activated sludge metagenome,50156,1,0,0,,,SRS1328024,soil metagenome,,,,SRS1921920,aquatic metagenome,,,SRS1328024,soil metagenome,,,,SRS1328024,soil metagenome
SRR8301203,activated sludge metagenome,37576,2,0,0,,,SRS3177991,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3177991,freshwater metagenome
SRR8301207,activated sludge metagenome,52065,1,0,0,,,SRS1180540,sediment metagenome,,,,SRS888526,hot springs metagenome,,,SRS1328024,soil metagenome,,,,SRS1180540,sediment metagenome
SRR8301212,activated sludge metagenome,53740,1,0,0,,,SRS1180534,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS1180534,soil metagenome
SRR8301265,activated sludge metagenome,42367,1,0,0,,,SRS4391948,soil metagenome,,,,SRS1910800,mine drainage metagenome,,,SRS1328024,soil metagenome,,,,SRS4391948,soil metagenome
SRR8301267,activated sludge metagenome,53237,1,0,0,,,SRS3545860,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3545860,sediment metagenome
SRR8301280,activated sludge metagenome,36267,1,0,0,,,SRS4414920,soil metagenome,,,,SRS4331290,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4414920,soil metagenome
SRR8301343,activated sludge metagenome,32416,1,0,0,,,SRS2094434,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2094434,soil metagenome
SRR8301345,activated sludge metagenome,60308,1,0,0,,,SRS1257010,soil metagenome,,,,SRS500616,hot springs metagenome,,,SRS1328024,soil metagenome,,,,SRS1257010,soil metagenome
SRR8301349,activated sludge metagenome,46556,2,0,0,,,SRS942338,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS942338,soil metagenome
SRR8301363,activated sludge metagenome,43111,1,0,0,,,SRS4347064,activated sludge metagenome,,,,SRS4391961,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347064,activated sludge metagenome
SRR8301382,activated sludge metagenome,35802,1,0,0,,,ERS785396,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS785396,soil metagenome
SRR8301390,activated sludge metagenome,43462,1,0,0,,,SRS4347069,activated sludge metagenome,,,,SRS1212620,sediment metagenome,,,SRS1328024,soil metagenome,,,,SRS4347069,activated sludge metagenome
SRR8301394,activated sludge metagenome,56652,1,0,0,,,SRS4347062,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4347062,activated sludge metagenome
SRR8301395,activated sludge metagenome,35468,1,0,0,,,SRS1212616,sediment metagenome,,,,SRS1922651,aquatic metagenome,,,SRS1328024,soil metagenome,,,,SRS1212616,sediment metagenome
SRR8301428,activated sludge metagenome,49008,1,0,0,,,SRS4391967,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4391967,soil metagenome
SRR8301441,activated sludge metagenome,48147,1,0,0,,,SRS4347068,activated sludge metagenome,,,,SRS1921919,aquatic metagenome,,,SRS1328024,soil metagenome,,,,SRS4347068,activated sludge metagenome
SRR8301548,activated sludge metagenome,43927,1,0,0,,,ERS1264976,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS1264976,soil metagenome
SRR8301551,activated sludge metagenome,31414,2,0,0,,,ERS1222758,soil metagenome,,,,SRS1922648,aquatic metagenome,,,SRS1328024,soil metagenome,,,,ERS1222758,soil metagenome
SRR8301552,activated sludge metagenome,40670,1,0,0,,,SRS913783,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS913783,seawater metagenome
SRR8301553,activated sludge metagenome,46904,2,0,0,,,SRS500619,hot springs metagenome,,,,ERS785402,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS500619,hot springs metagenome
SRR8301555,activated sludge metagenome,44764,1,0,0,,,ERS785471,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS785471,soil metagenome
SRR8301564,activated sludge metagenome,37589,1,0,0,,,SRS4331316,soil metagenome,,,,SRS2094432,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4331316,soil metagenome
SRR8301566,activated sludge metagenome,35975,2,0,0,,,DRS026688,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,DRS026688,sediment metagenome
SRR8301631,activated sludge metagenome,32113,3,0,0,,,SRS4347077,activated sludge metagenome,,,,SRS4391969,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347077,activated sludge metagenome
SRR8301635,activated sludge metagenome,44657,1,0,0,,,ERS785466,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS785466,soil metagenome
SRR8301636,activated sludge metagenome,39262,1,0,0,,,ERS785448,soil metagenome,,,,SRS4391959,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785448,soil metagenome
SRR8301637,activated sludge metagenome,46003,1,0,0,,,SRS970776,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS970776,hot springs metagenome
SRR8301638,activated sludge metagenome,49626,1,0,0,,,ERS785468,soil metagenome,,,,SRS942388,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785468,soil metagenome
SRR8301639,activated sludge metagenome,62076,1,0,0,,,SRS4347076,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4347076,activated sludge metagenome
SRR8301657,activated sludge metagenome,45210,1,0,0,,,SRS4347117,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347117,activated sludge metagenome
SRR8301676,activated sludge metagenome,47187,1,0,0,,,SRS2872829,sediment metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2872829,sediment metagenome
SRR8301691,activated sludge metagenome,33779,1,0,0,,,SRS1922649,aquatic metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1922649,aquatic metagenome
SRR8301730,activated sludge metagenome,31320,1,0,0,,,SRS4347341,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347341,soil metagenome
SRR8301764,activated sludge metagenome,39385,1,0,0,,,ERS785512,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785512,soil metagenome
SRR8301765,activated sludge metagenome,32360,1,0,0,,,SRS4347074,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347074,activated sludge metagenome
SRR8301766,activated sludge metagenome,37796,2,0,0,,,ERS785472,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785472,soil metagenome
SRR8301768,activated sludge metagenome,44922,1,0,0,,,SRS4391958,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4391958,soil metagenome
SRR8301771,activated sludge metagenome,36373,1,0,0,,,SRS1311323,hot springs metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1311323,hot springs metagenome
SRR8301773,activated sludge metagenome,34918,1,0,0,,,SRS2872829,sediment metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2872829,sediment metagenome
SRR8301831,activated sludge metagenome,40502,1,0,0,,,ERS785414,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785414,soil metagenome
SRR8301848,activated sludge metagenome,45192,1,0,0,,,ERS1222779,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1222779,soil metagenome
SRR8301852,activated sludge metagenome,44213,1,0,0,,,ERS785467,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785467,soil metagenome
SRR8301892,activated sludge metagenome,39851,1,0,0,,,ERS785514,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785514,soil metagenome
ERR1767143,aquatic metagenome,204134,5,0,0,,,ERS785449,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785449,soil metagenome
SRR1531592,aquatic metagenome,20360,2,0,0,,,SRS4347079,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347079,activated sludge metagenome
SRR1531773,aquatic metagenome,2928,1,0,0,,,SRS2789997,marine sediment metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2789997,marine sediment metagenome
SRR1532478,aquatic metagenome,14327,1,0,0,,,SRS4114499,groundwater metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4114499,groundwater metagenome
SRR3736100,aquatic metagenome,46782,0,1,0,,,SRS913784,seawater metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS913784,seawater metagenome
SRR6814662,aquatic metagenome,60673,2,0,0,,,ERS1222760,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1222760,soil metagenome
ERR658107,freshwater metagenome,64842,1,0,0,,,SRS4347075,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347075,activated sludge metagenome
ERR658123,freshwater metagenome,54268,0,2,0,,,SRS2872829,sediment metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2872829,sediment metagenome
SRR2083874,freshwater metagenome,310227,1,0,0,,,SRS4331281,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4331281,soil metagenome
SRR2083970,freshwater metagenome,332909,1,0,0,,,SRS4391966,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4391966,soil metagenome
SRR2083973,freshwater metagenome,214201,3,0,0,,,ERS785470,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785470,soil metagenome
SRR2083976,freshwater metagenome,102817,0,1,0,,,SRS4347070,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347070,activated sludge metagenome
SRR2083979,freshwater metagenome,263040,3,0,0,,,ERS785398,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785398,soil metagenome
SRR2083986,freshwater metagenome,200362,6,0,0,,,SRS2789968,marine sediment metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2789968,marine sediment metagenome
SRR2083988,freshwater metagenome,88915,1,0,0,,,SRS888527,hot springs metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS888527,hot springs metagenome
SRR2084000,freshwater metagenome,117277,0,1,0,,,SRS3454879,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454879,soil metagenome
SRR2084002,freshwater metagenome,206166,9,0,0,,,ERS785412,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785412,soil metagenome
SRR2084003,freshwater metagenome,205455,1,0,0,,,SRS4391963,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4391963,soil metagenome
SRR2084020,freshwater metagenome,117517,1,0,0,,,ERS1222762,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1222762,soil metagenome
SRR2084034,freshwater metagenome,202700,1,0,0,,,SRS4347078,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347078,activated sludge metagenome
SRR2084036,freshwater metagenome,113704,1,0,0,,,SRS4391965,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4391965,soil metagenome
SRR2084044,freshwater metagenome,117125,0,2,0,,,ERS1222764,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1222764,soil metagenome
SRR2084060,freshwater metagenome,79491,2,0,0,,,SRS3038129,aquatic metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3038129,aquatic metagenome
SRR2962985,freshwater metagenome,28223,1,0,0,,,SRS942336,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS942336,soil metagenome
SRR3598054,freshwater metagenome,87104,1,0,0,,,DRS026687,sediment metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,DRS026687,sediment metagenome
SRR3598056,freshwater metagenome,106389,0,1,0,,,ERS785400,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785400,soil metagenome
SRR3598081,freshwater metagenome,54067,1,0,0,,,SRS1520035,freshwater metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1520035,freshwater metagenome
SRR3598098,freshwater metagenome,101218,3,0,0,,,SRS2789972,marine sediment metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2789972,marine sediment metagenome
SRR3598160,freshwater metagenome,500065,0,1,0,,,SRS4347095,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347095,activated sludge metagenome
SRR3598168,freshwater metagenome,170064,0,1,0,,,SRS4114496,groundwater metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4114496,groundwater metagenome
SRR3598182,freshwater metagenome,294896,0,1,0,,,ERS785453,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785453,soil metagenome
SRR3708712,freshwater metagenome,2784090,7,0,0,,,SRS3454758,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454758,soil metagenome
SRR5246983,freshwater metagenome,102005,0,1,0,,,ERS1222774,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1222774,soil metagenome
SRR6308684,freshwater metagenome,34719,1,0,0,,,SRS4347343,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347343,soil metagenome
SRR6308685,freshwater metagenome,35642,1,0,0,,,SRS3454512,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454512,soil metagenome
SRR6308686,freshwater metagenome,37024,4,0,0,,,SRS4347125,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347125,activated sludge metagenome
SRR6308687,freshwater metagenome,44171,20,0,0,,,DRS026691,sediment metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,DRS026691,sediment metagenome
SRR6308692,freshwater metagenome,42353,6,0,0,,,ERS785504,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785504,soil metagenome
SRR6308776,freshwater metagenome,35919,4,0,0,,,SRS4347097,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347097,activated sludge metagenome
SRR6308893,freshwater metagenome,45518,2,0,0,,,ERS1222757,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1222757,soil metagenome
SRR6308897,freshwater metagenome,49282,15,0,0,,,SRS958469,hot springs metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS958469,hot springs metagenome
SRR6308898,freshwater metagenome,44802,2,0,0,,,ERS785408,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785408,soil metagenome
